state,constituency,winner,party,gender,criminal cases,age,category,education,assets,liabilities,total electors,balance assets,total_cons_per_state,total_voters_per_state,total_voters_per_cons
Kerala,PALAKKAD,0,BJP,1,10,48.0,GENERAL,7,11298644.0,1448919.0,1323010,9849725.0,63,82698658,3
Jharkhand,PALAMAU,1,BJP,1,0,68.0,SC,7,32273873.0,90922.0,1881441,32182951.0,65,100839587,7
Jharkhand,PALAMAU,0,RJD,1,5,51.0,SC,7,15227170.0,793697.0,1881441,14433473.0,65,100839587,7
Jharkhand,PALAMAU,0,BSP,0,0,47.0,SC,3,12484775.0,2512110.0,1881441,9972665.0,65,100839587,7
Jharkhand,PALAMAU,0,IND,1,1,40.0,SC,4,1750038.0,0.0,1881441,1750038.0,65,100839587,7
Jharkhand,PALAMAU,0,IND,1,0,28.0,SC,6,2116596.0,0.0,1881441,2116596.0,65,100839587,7
Jharkhand,PALAMAU,0,IND,1,1,65.0,SC,7,6801000.0,50000.0,1881441,6751000.0,65,100839587,7
Jharkhand,PALAMAU,0,BLSD,1,0,33.0,SC,4,3787000.0,75000.0,1881441,3712000.0,65,100839587,7
Maharashtra,PALGHAR,1,SHS,1,0,51.0,ST,7,87616920.0,30223375.0,1885600,57393545.0,175,321123079,5
Maharashtra,PALGHAR,0,BVA,1,3,63.0,ST,3,20285716.0,0.0,1885600,20285716.0,175,321123079,5
Maharashtra,PALGHAR,0,IND,1,1,55.0,ST,3,752000.0,0.0,1885600,752000.0,175,321123079,5
Maharashtra,PALGHAR,0,VBA,1,2,34.0,ST,2,5790689.0,0.0,1885600,5790689.0,175,321123079,5
Maharashtra,PALGHAR,0,BSP,1,0,43.0,ST,3,840700.0,0.0,1885600,840700.0,175,321123079,5
Rajasthan,PALI,1,BJP,1,0,65.0,GENERAL,7,385111923.0,7278041.0,2161663,377833882.0,74,144688084,2
